Title,"Identifier - fales_io_print000001, bobst_io_print000002 or similar (don't duplicate numbers)",Handle,TypeOfResource,Creator,Contributor,Subject,Tags,Genre,Date,Date Type,Publisher,Publisher Location,Language,Geographic Location,Description
Metechel Istie,fales_io_card000022,http://hdl.handle.net/2333.1/bk3j9p4p,still image,,,"Italy--Colonies--Africa

","Gondar, Ethiopia",Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Gondar, Ethiopia", Checkered battalion flag being held over the city of Gondar.
XXII° Battaglione Indigeni d'Eritrea,fales_io_card000023,http://hdl.handle.net/2333.1/6t1g1nnk,still image,,,"Italy--Colonies--Africa

",Askari (Eritrean),Postcards,,,Francesco Duval,"Rome, Italy",ita,, Three Askari with rifles and flag. Writing on back.
VIII Battaglione Coloniale,fales_io_card000024,http://hdl.handle.net/2333.1/34tmpjwc,still image,,,"Italo-Ethiopian War, 1935-1936|Italo-Ethiopian War, 1895-1896 ",Askari (Eritrean),Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia, Askaro with a battalion flag and a grenade (with the drawing of a lion in the upper corner). Lists Italian military enagaements of the battalion from 1896 to 1939.
"Batteria Indigeni, R° Corpo di Truppe Coloniali Eritrea",fales_io_card000025,http://hdl.handle.net/2333.1/zcrjdjjf,still image,,,"Italo-Ethiopian War, 1935-1936",Askari (Eritrean),Postcards,,,,,ita,Sudan|Ethiopia, Five Askari around a cannon. Lists Italian military engagements of the battalion in Ethiopia and the Sudan.
A.O. Reparti CC. NN. Mitragliatrici P.,fales_io_card000026,http://hdl.handle.net/2333.1/tmpg4j02,still image,"Ferrari, Giulio",,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia, Three Italian machine gunners in combat.
"XI° Gruppo Someggiato Coloniale, ""Vigile scolta d'amba in amba veglio""",fales_io_card000027,http://hdl.handle.net/2333.1/pvmcvhfb,still image,"D'ercoli, Manlio",,"Italo-Ethiopian War, 1935-1936",Ethiopia|Askari (Eritrean),Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia, Two Askari with a battalion flag transporting a machine gun loaded on a horse.
"Ove Galoppo Impero, Il Gruppo Squadroni Cavalleria Coloniali",fales_io_card000028,http://hdl.handle.net/2333.1/k3j9kgx1,still image,,,"Italo-Ethiopian War, 1935-1936",Askari ,Postcards,,,V.E. Boeri,"Rome, Italy",ita,, African atop a white horse.
"VI° Battaglione Arabo-Somalo, ""Balzo e Sbrano""",fales_io_card000029,http://hdl.handle.net/2333.1/fbg79gdw,still image,"D'ercoli, Manlio",,"Italo-Ethiopian War, 1935-1936",Askari (Somalian),Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Birgot, Somalia", Two Askari (Eritrean) with one slumped dead over a machine gun at a battle in Birgot. Lists  other engagements of the battalion.
Compagnia Carabinieri Reali Asmara,fales_io_card000030,http://hdl.handle.net/2333.1/9kd51fxs,still image,,,"Italo-Ethiopian War, 1935-1936",Askari (Etritrean),Postcards,,,,,ita,Eritrea," Four Askari (Eritrean) on foot with two Italian soldiers on horseback. Has postage stamp, postmark, and address."
"I° Battaglione Arabo-Somali, ""L'Aggressivo""",fales_io_card000031,http://hdl.handle.net/2333.1/5x69pc4k,still image,"D'ercoli, Manlio",,"Italo-Ethiopian War, 1935-1936",Askari (Somalian),Postcards,,,V.E. Boeri,"Rome, Italy",ita,Libya|Ethiopia," Rifles, hats, and flag of the battalion, with the image of a lion. Also lists military campaigns of the battalion."
XVIII° Gruppo Artiglieria Someggiata Coloniale,fales_io_card000032,http://hdl.handle.net/2333.1/2547dbm8,still image,"Tafuri, Pittore, Pittore",,"Italo-Ethiopian War, 1935-1936",Askari,Postcards,,,V.E. Boeri,"Rome, Italy",ita,, Three Askari artillary men.
"II° Gruppo Autotrainato Indigeni, ""Sempre Avanti, Dovunque,"" Africa Orientale",fales_io_card000033,http://hdl.handle.net/2333.1/xd254b73,still image,"Ferrari, Giulio",,"Italo-Ethiopian War, 1935-1936",Askari,Postcards,,,V.E. Boeri,"Rome, Italy",ita,, Italian officer with four Askari.
"505° Battaglione Mitraglieri, Divisione Cosseria, ""Celerrimo Ictu, Impavida Fide""",fales_io_card000034,http://hdl.handle.net/2333.1/sn02v9qm,still image,"D'ercoli, Manlio",,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,V.E. Boeri,"Rome, Italy",ita,, Three Italian machine gunners.
Sull'Amba Ed Oltre,fales_io_card000035,http://hdl.handle.net/2333.1/nvx0k96d,still image,"D'ercoli, Manlio",,"Italo-Ethiopian War, 1935-1936",Askari,Postcards,,,V.E. Boeri,"Rome, Italy",ita,,Two Askari dragging a weapons-laden horse up a hill.
Askari charging into battle,fales_io_card000036,http://hdl.handle.net/2333.1/j3tx98q7,still image,"Tafuri, Pittore, Pittore",,"Italo-Ethiopian War, 1935-1936",Askari,Postcards,,,V.E. Boeri,"Rome, Italy",ita,,"Askari, led by Italian officers, charging up a hill armed with rifles and sabres."
"XXIX° Battaglione Complementi A.O., Divisione di Fanteria 'Peloritana'",fales_io_card000037,http://hdl.handle.net/2333.1/dbrv187b,still image,"D'ercoli, Manlio",,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,V.E. Boeri,"Rome, Italy",ita,,"Italian soldiers. some wielding pick axes, some charging into battle, and some breaking the chains from the wrists of indigenious Africans."
"Distretto Militare di Milano, Cartolina Ricordo della Medaglia d'Oro Milanese d'Alessandri Giovanni",fales_io_card000038,http://hdl.handle.net/2333.1/8pk0p5ds,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Askari,Postcards,,,F. Francesco Duval,"Milan, Italy",ita,,An Italian soldier and Askari engaging in hand-to-hand combat.
Comando IVa Brigata Coloniale (Semien),fales_io_card000039,http://hdl.handle.net/2333.1/4xgxd4xk,still image,"Tafuri, Pittore, Pittore",,"Italo-Ethiopian War, 1935-1936",Askari,Postcards,,,V.E. Boeri,"Rome, Italy",ita,,Two Askari pointing off into the distance.
1a Adunata a Roma delle Truppe Coloniali per il 1° Anniversario della Fondazione dell'impero ,fales_io_card000040,http://hdl.handle.net/2333.1/15dv44c7,still image,,,"Italo-Ethiopian War, 1935-1936",Askari,Postcards,,,V.E. Boeri,"Rome, Italy",ita,,Four armed Askari outside a Roman structure celebrating the anniversary of the Italian Empire.
LX Battaglione Coloniale,fales_io_card000041,http://hdl.handle.net/2333.1/wdbrv415,still image,,,"Italo-Ethiopian War, 1935-1936","Askari|Bottego, Vittorio",Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia," Askari standing on a hill, with the image of Italian officer Vittorio Bottego in the background."
5° Gruppo Squadroni Cavalleria Coloniale,fales_io_card000042,http://hdl.handle.net/2333.1/rn8pk3ht,still image,"Tafuri, Pittore, Pittore",,"Italo-Ethiopian War, 1935-1936",Askari,Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia,"Horse mounted Askari charging into battle at Tisisat Dildil, Ethiopia, led by an Italian officer."
XXXIX° Battaglione Coloniale,fales_io_card000043,http://hdl.handle.net/2333.1/mw6m931x,still image,"D'ercoli, Manlio",,"Italo-Ethiopian War, 1935-1936",Askari,Postcards,,,V.E. Boeri,"Rome, Italy",ita,,Askari charging into battle.
Museo Storico dei Granatieri di Sardegna e D'Albania,fales_io_card000044,http://hdl.handle.net/2333.1/h44j12jv,still image,,,"Italo-Ethiopian War, 1935-1936","Italian miltary|Luigi, Michelazzi",Postcards,,,Francesco Duval,"Milan, Italy",ita,Ethiopia," The death of Italian Lt. Micelazzi Luigi (awarded the Gold Medal) during battle, surrounded by Askari."
VI° Battaglione Indigeni d'Eritrea (Aga),fales_io_card000045,http://hdl.handle.net/2333.1/cfxpnzpq,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Askari,Postcards,,,Doyen,"Turin, Italy",ita,, Askaro standing guard over a slain Italian soldier.
"Carabinieri Reali dell'AOI, ""Australi sub cruce fideliter""",fales_io_card000046,http://hdl.handle.net/2333.1/7pvmcz6t,still image,"Tafuri, Pittore, Pittore",,"Italo-Ethiopian War, 1935-1936",Italian military|Askari,Postcards,,,V.E. Boeri,"Rome, Italy",ita,,Askaro and an Italian officer gaze across the land. Back lists gold and bronze medals awarded to the unit.
V° Battaglione Indigeni dell'Eritrea,fales_io_card000047,http://hdl.handle.net/2333.1/3xsj3xn7,still image,,,"Italo-Ethiopian War, 1935-1936",Askari (Eritrean),Postcards,,,V.E. Boeri,"Rome, Italy",ita,, Wounded Askaro standing on a battlefield with a sabre in his hands.
XXII° Battaglione Eritreo,fales_io_card000048,http://hdl.handle.net/2333.1/05qftx40,still image,"Ferrari, Giulio",,"Italo-Ethiopian War, 1935-1936",Askari (Eritrean),Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia, Askaro with a rifle and lion at his side. Back lists several battles in 1935-36.
Ritirata strategica ,fales_io_card000049,http://hdl.handle.net/2333.1/vdncjwsv,still image,Rosetta,,"Italy--Colonies--Africa|Racism--Italy--20th century

",Italian military|racial stereotypes|satire,Postcards,,,V.E. Boeri,"Rome, Italy",ita,,"Stereotypically drawn Africans being chased by Italian soldiers. The title is translated as ""strategic retreat."""
Servizio segreto,fales_io_card000050,http://hdl.handle.net/2333.1/qnk98wb6,still image,Rosetta,,"Italy--Colonies--Africa

",Italian military|African women|sex|satire,Postcards,,,V.E. Boeri,"Rome, Italy",ita,," Italian officer coaxing a half-nude African woman into a hut. The title translates as ""secret service."""
Dopolavoro,fales_io_card000051,http://hdl.handle.net/2333.1/kwh70vtv,still image,,,"Italy--Colonies--Africa

",Dopolavoro|children,Postcards,,,,,,," Italian child (from Dopolavoro, an Italan fascist recreational club) pushing an African child on a swing."
Il Negus sportivo- La fuga con servizio di copertura,fales_io_card000052,http://hdl.handle.net/2333.1/g79cns0f,still image,Rosetta,,"Italy--Colonies--Africa|Racism--Italy--20th century

",racial stereotypes|satire,Postcards,,,V.E Boeri,"Rome, Italy",ita,, Four steriotypical imaged Africans on a bicycle.
La Liberazione,fales_io_card000053,http://hdl.handle.net/2333.1/bg79crhb,still image,,,"Italy--Colonies--Africa

",children,Postcards,,,,,,, Two Italian children cutting the shackles from three African children - one of which holds an Italian flag. Includes address and writing.
Genti del Tigrae Tacazze Udite,fales_io_card000054,http://hdl.handle.net/2333.1/6q573qzr,still image,"Bertiglia, Aurelio",,"Italy--Colonies--Africa

",Italian colonialism,Postcards,,,,,ita,Tigray,"Italian baby soldiers breaking the chains of African babies. In the background  is a sign by General De Bono with a note to the people of Tigray. Includes postmark, stamp, address and writing."
Untitled,fales_io_card000055,http://hdl.handle.net/2333.1/2z34tqfg,still image,"Bertiglia, Aurelio",,"Italy--Colonies--Africa

",children|satire|Italian colonialism,Postcards,,,,,,,Italian baby soldiers expelling African baby traditional leaders from the land.
Consegna del corredo,fales_io_card000056,http://hdl.handle.net/2333.1/z612jq3k,still image,,,"Italy--Colonies--Africa

",children|satire,Postcards,,,,,,," Uniformed Italian children handing out clean, white clothes to African children, one of which holds an Italian flag. Title translates as ""delivery kit."" Includes postmark, stamp, address and writing."
...ecco l'aggressore!,fales_io_card000057,http://hdl.handle.net/2333.1/tdz08pmd,still image,Rosetta,,"Italy--Colonies--Africa

",satire,Postcards,,,V.E. Boeri,"Rome, Italy",ita,," Italian soldiers rrunning towards four African women, in varied states of undress, primping by a river."
"Italian baby soldier holding Italian flag while African babies hold a white flag and give the Roman/Fascist salute- signed by artist A. Bertiglia, Aurelio, Aurelio",fales_io_card000058,http://hdl.handle.net/2333.1/prr4xkrh,still image,"Bertiglia, Aurelio",,"Italy--Colonies--Africa

",satire|children,Postcards,,,,,ita,," Italian baby soldiers holding an Italian flag and an African baby holding a white flag, while giving the fascist salute."
Untitled,fales_io_card000059,http://hdl.handle.net/2333.1/k0p2nk8n,still image,"Bertiglia, Aurelio",,"Italy--Colonies--Africa

",children,Postcards,,,,,ita,," An Italian baby soldier raising the Italian flag, while African babies kneel down."
Untitled,fales_io_card000060,http://hdl.handle.net/2333.1/f7m0cjsj,still image,"Bertiglia, Aurelio",,"Italy--Colonies--Africa

",children,Postcards,,,,,ita,," Italian baby soldiers (and a civilian) painting the map of Ethiopia with the colors of the Italian flag, while an African child assists."
Le...ritirate strategiche del negus...,fales_io_card000061,http://hdl.handle.net/2333.1/9ghx3j72,still image,,,"Italo-Ethiopian War, 1935-1936",Ethiopia|satire,Postcards,,,,,ita,Ethiopia," The king of Ethiopia withdawing from the kingdom. Title trarnslates as ""the withdrawal of the king."""
Un bel passo molleggiante qui si vede assai sovente ma sta in guardia il bravo fante per l'insidia del serpente,fales_io_card000062,http://hdl.handle.net/2333.1/5qftthqk,still image,"Lellvero, Felix (?)",,"Italo-Ethiopian War, 1935-1936",satire|African women,Postcards,,,Perfetti,"Genoa, Italy",ita,, An Italian officer following an African woman.
"Il Negus: Volare non e' necessario, porco Giuda!...",fales_io_card000063,http://hdl.handle.net/2333.1/1zcrjh7p,still image,,,"Italo-Ethiopian War, 1935-1936",Ethiopia|satire,Postcards,,,,,ita,Ethiopia, The Ethiopian king flying an airplane with a lion under the wing.
Caro amico...sono in una posizione pericolosa,fales_io_card000064,http://hdl.handle.net/2333.1/x69p8gxt,still image,Rosetta,,"Italy--Colonies--Africa

",sex|African women|satire|Italian military|gender stereotypes,Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia," An Italian soldier under a tree surrounded by five scantily dressed African women. Title translates as ""Dear Friend, We are in a dangerous position."""
"Lo zebu' non e' che un bue ma nell'africa ha imparato a portar, come il soldato, la riserva sul groppon",fales_io_card000065,http://hdl.handle.net/2333.1/sj3txd24,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,Perfetti,"Genoa, Italy",ita,," An Italian soldier with a backpack, on his knees near an ox."
Lattavuota e' quella cosa che da noi non serve a niente ma il soldato intelligente qui preziosa la fara',fales_io_card000066,http://hdl.handle.net/2333.1/ns1rnck1,still image,,,"Italy--Colonies--Africa

",Italian military,Postcards,,,Perfetti,"Genoa, Italy",ita,, Inventiveness of Italians by demonstrating how they turned an empty can into a shower head.
Il Negus fa dello sport. Allenamento per la fuga.,fales_io_card000067,http://hdl.handle.net/2333.1/j0zpcc2v,still image,Rosetta,,"Italy--Colonies--Africa

",racial stereotypes,Postcards,,,V.E. Boeri,"Rome, Italy",ita,,Stereotypical view of Africans as only interested in sports.
Il Negus lascia la sua residenza al fronte. Ma quella non la prendi? Sai bene che mi e' indispensabile!,fales_io_card000068,http://hdl.handle.net/2333.1/d7wm3bh8,still image,Rosetta,,"Italy--Colonies--Africa

",racial stereotypes|satire,Postcards,,,V.E. Boeri,"Rome, Italy",ita,, African king complaining about his wife leaving his crown in the hut.
Il 'chitet'?...E chi se ne frega!...,fales_io_card000069,http://hdl.handle.net/2333.1/8gthtb00,still image,,,"Italy--Colonies--Africa|Racism--Italy--20th century

",racial stereotypes|satire,Postcards,,,,,ita,, African villagers ignoring a call from a  drummer.
Quando al Negus...lucean le stelle...,fales_io_card000070,http://hdl.handle.net/2333.1/4qrfj9gn,still image,Rosetta,,"Italo-Ethiopian War, 1935-1936|Racism--Italy--20th century",Italian military|Ethiopia|racial stereotypes,Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia," A ""king"" looking towards the sky only to see Italian aircraft dropping bombs."
Sogno e ....realta',fales_io_card000071,http://hdl.handle.net/2333.1/0zpc890r,still image,Rosetta,,"Italy--Colonies--Africa

",satire|Ethiopia,Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia," An Ethiopian dreaming of chasing an Italian soldier, while the reality is the Italian soldier is prepared to assault him. The title translates as ""dreams and reality."""
Anche questi son 'caproni!'....,fales_io_card000072,http://hdl.handle.net/2333.1/w9ghx6bb,still image,,,"Italy--Colonies--Africa

",satire|Ethiopia,Postcards,,,,,ita,Ethiopia," Africans, with spears, dancing amidst a herd of goats. The title translates ""These are also goats."""
Orfanotrofio Antoniano del Canonico A.M. di Francia ,fales_io_card000073,http://hdl.handle.net/2333.1/rjdfn5v7,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,,,ita,," Italian troops marching with St. Antonio looking over them. Includes postmark, stamp, address."
Il Sacrificio di un Eroe- Il Barbaro Assassinio di Padre Reginaldo Giuliani,fales_io_card000074,http://hdl.handle.net/2333.1/msbcc5b3,still image,"Del Sordo, A.",,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,Gaetano Schenone,"Genoa, Italy",ita,"Uarieu Pass, Ethiopia"," The death of Dominican Friar and Italian soldier Reginaldo Giuliani at the battle of Uarieu Pass in Ethiopia. The title translates as ""The sacrifice of a hero."""
Sirte- La Madonnina,fales_io_card000075,http://hdl.handle.net/2333.1/h18934sj,still image,Gentilezza,,"Italo-Ethiopian War, 1935-1936",religion|Italian military,Postcards,,,P. Alfredo Mattioli,,ita,, Two Italian soldiers praying at a statue of the Madonna.
Untitled,fales_io_card000076,http://hdl.handle.net/2333.1/c866t488,still image,,,"Italo-Ethiopian War, 1935-1936",religion|Italian military,Postcards,,,,,,, Jesus and a saint guiding Italian troops into battle.
Squadriglia di aeroplani 'Savoia-Marchetti' S. 81 da bombardamento partecipanti ad una battaglia in Africa Orientale,fales_io_card000077,http://hdl.handle.net/2333.1/7h44j3rx,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|airplanes,Postcards,,,F. Montonati,,ita,, Squadron of Italian military planes  flying into battle.
Battaglione Carri d'Assalto del Governo dei Galla e dei Sidama,fales_io_card000078,http://hdl.handle.net/2333.1/3r228381,still image,"D'ercoli, Manlio",,"Italo-Ethiopian War, 1935-1936",Italian military|tanks,Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Sidama, Ethiopia"," Italian tanks going into battle in Sidama, Ethiopia."
Untitled,fales_io_card000079,http://hdl.handle.net/2333.1/02v6x0gk,still image,,,"Italo-Ethiopian War, 1935-1936","Italian military|Mussolini, Benito",Postcards,,,V.E. Boeri,"Rome, Italy",ita,, Italian soldier with a quote from Benito Mussollini on the card's back.
Raggruppamento Carri d'Assalto della Somalia Italiana,fales_io_card000080,http://hdl.handle.net/2333.1/v9s4n05w,still image,"Ferrari, Giulio",,"Italo-Ethiopian War, 1935-1936",Italian military|tanks|Ethiopia|lions,Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Neghelli, Ethiopia|Hamanlei, Ethiopia", Italian tank assaulting cities in Ethiopia. An image of a lion is the background.
Cartolina Postale del 72° Reggimento Fanteria,fales_io_card000081,http://hdl.handle.net/2333.1/qjq2bzkw,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Battle of Adwa,Postcards,,,Augusto Cantarfila,"Milan, Italy",ita,"Adwa, Ethiopia", Fallen Italian soldiers in the Battle of Adwa.
Ia Divisione CC. NN. '23 Marzo'- Serie Cartoline AOI a Cura dell'Ufficio Storico della Milizia- nel XIV Annuale di Fondazione,fales_io_card000082,http://hdl.handle.net/2333.1/ksn02z1h,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Battle of Amba Aradam,Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Amba Aradam, Ethiopia", Italian soldiers advancing into battle at the Battle of Amba Aradam in 1936.
Generosita' italiana,fales_io_card000083,http://hdl.handle.net/2333.1/g1jwsxhz,still image,,,"Italo-Ethiopian War, 1935-1936|Italy--Colonies--Africa

",Italian military,Postcards,,,,,ita,," Italian soldier giving food to African children. Title translates as ""Italian generosity."" Includes postage stamp and mark, with address and writing."
Reggimento Artiglieria Motorizzato della 'Marmarica' (44),fales_io_card000084,http://hdl.handle.net/2333.1/b8gthx0t,still image,"D'ercoli, Manlio",,"Italo-Ethiopian War, 1935-1936",Italian military|tanks,Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Marmarica, Libya",Commenorates the Battle of Marmarica (1941) and the Artillery Regiment of the 62nd Infantry.
