id,collection,contributor.author,coverage.spatial,coverage.spatial,date.issued,description,identifier.citation,identifier.uri,publisher.place.EN,publisher.place,publisher,rights,subject,subject,title
"34599","2451/33605","Repila, Jacky",,"Pakistan","2013-07","""This paper celebrates the changes that the RHV (Raise Her Voice) Pakistan programme has brought about and, more importantly, distils the choices and actions that generated these changes. It can offer insights to policy makers and practitioners developing and managing governance programmes in complex, and often insecure, contexts, where the political space for women is narrow and fraught with dangers."" [OCLC Accession Number: 876594020; ISBN: 9781780773544]","http://www.af.org.pk/pub_files/1396364563.pdf","http://hdl.handle.net/2451/33808",,"Oxford","Oxfam GB","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.",,"Women -- Political activity -- Pakistan||Women -- Political participation -- Pakistan||Social change","The politics of our lives: the raising her voice in Pakistan experience"
"34600","2451/33605","Sarna, Avina||Gupta, Indrani||Pujari, Sanjay||Sengar, A.K.||Garg, Rajiv||Weiss, Ellen",,"India","2006-04","""Very high levels of patient adherence (greater than 95 percent) are required for antiretroviral therapy (ART) to be effective and to prevent the emergence of resistant viral strains (Paterson et al. 2000;
Ickovics et al. 2002). Since 1997, antiretroviral (ARV) medications have been available in India through the private sector and some employer-supported health insurance programs. It is estimated that India has 5.1 million HIV-infected persons (NACO 2004), some of whom have been on ART for several years. However, very little information is available on the levels of adherence to ART among people living with
HIV/AIDS in India. With increased availability of ART, HIV-positive individuals are living healthier lives and continuing or resuming sexual activity. But, optimism related to ART's success in slowing disease progression, reducing viral load, and improving health status may lead to more risky sexual practices and a possible
increase in transmission of infections. Determining the sexual behavior of HIV-positive persons on ART is therefore an area of special interest and concern. To meet these knowledge gaps, the Horizons Program, in collaboration with research partners in Delhi and Pune, conducted a study to assess current levels of adherence to ART among a sample of people living with HIV/AIDS, identify the factors that influence their adherence to treatment, and determine their sexual risk behaviors. The study also examined the economic burden of ART on the household. Findings from the study provide important insights that are immediately relevant to the scale-up of the national ART program, which was launched in April 2004."" [OCLC Accession No.: 70645391]","http://www.popcouncil.org/pdfs/horizons/indiaart.pdf","http://hdl.handle.net/2451/33809",,"Washington, DC","Population Council / Horizons","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.",,"HIV/AIDS||Sexual Health||Public health||Sexually transmitted diseases","Examining adherence and sexual behavior among patients on antriretroviral therapy in India"
"34601","2451/33605","Rambukwella, Harshana",,"Sri Lanka","2012-08","""This paper examines the lack of an inclusive pan-Sri Lankan identity in relation to literary representations and understandings of nation, looking specifically at the work of the English language writing of Yasmine Gooneratne and Ambalavaner Sivanandan and the Sinhala writing of Gunadasa Amarasekara. While Sri Lankan history may not yield much evidence of an inclusive national identity one needs to raise the question as to why literature, which might be seen as a discourse where the improbable and idealistic is often explored, has failed to yield such a conception of idealistic nationhood. The tentative answer to this complex and multifaceted question proposed here is that it is related to the dominance of historical consciousness within the Sri Lankan cultural imagination and the choice of realism as a mode of representation."" [OCLC Accession No.: 871323398]","http://www.ices.lk/reconciling-what-history-realism-and-the-problem-of-an-inclusive-sri-lankan-identity-by-harshana-rambukwella/","http://hdl.handle.net/2451/33810",,"[Colombo, Sri Lanka]","International Centre for Ethnic Studies (ICES)","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.",,"Ethnic relations -- political aspects||Peace -- Sri Lanka||Political science -- Sri Lanka||Sri Lanka -- History -- Civil War, 1983-2009 -- Peace||Sri Lanka -- Ethnic relations -- Political aspects||Sri Lanka -- Politics and government -- 21st century||Sri Lanka -- Anthropology and sociology -- Ethnic groups -- Tamils","Reconciling what? History, realism and the problem of an inclusive Sri Lankan identity"
"34602","2451/33605","Haniffa, Farzana",,"Sri Lanka","2014-07","""The northern Muslims together with all protracted IDPs displaced prior to 2008 became a low priority case load for return and resettlement assistance in the aftermath of the 'end' of the war in Sri Lanka in 2009. Framed in terms of an ethics of 'greatest need' connected only to funding availability, all Old IDPs lost out in the resettlement process. This paper attempts to decentre this idea of economic limits and humanitarian need by discussing the manner in which such ideas of 'greatest need' actually emerge from discourses about victimhood that are part of an ethical humanitarian project to which local politics are irrelevant. This paper will show, however that these initiatives consistently intersect with local power hierarchies and local ideas of legitimacy and belonging. Therefore this paper will look at the manner in which the war related victim discourse of International Humanitarianism, helped to exacerbate northern Muslims own marginality and continued exclusion from the north. Looking also at the manner in which victimhood narratives are mobilizsed in Sri Lanka by electoral politics, and displaced IDP activists themselves, this paper will speculate about the efficacy of the victim identity for political and social transformation during this time of transition in Sri Lanka."" [ISBN: 978-955-580-154-6]","ICES Research Paper 13","http://hdl.handle.net/2451/33811",,"[Colombo, Sri Lanka]","International Centre for Ethnic Studies (ICES)","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.",,"Ethnic relations -- political aspects||Political science -- Sri Lanka||Sri Lanka -- History -- Civil War, 1983-2009 -- Peace||Sri Lanka -- Ethnic relations -- Political aspects||Sri Lanka -- Politics and government -- 21st century||Sri Lanka -- Anthropology and sociology -- Ethnic groups -- Muslims||Sri Lanka -- Refugees||Sri Lanka -- Internally displaced persons (IDPs)||Sri Lanka -- Social conditions||UNHCR||Vanni","Competing for victimhood status: Northern Muslims and the ironies of post-war reconciliation, justice and development"
"34603","2451/33605","Federation of Indian Animal Protection Organisations (FIAPO)||Wildlife Rescue and Rehabilitation Centre (WRRC)||Earth Island Institute||Born Free Foundation",,"India","2013","""This document is to serve as a guide for government agencies and other relevant authorities by providing a brief overview of
significant global research studies on the welfare of captive cetacean populations with
special emphasis on bottlenose dolphins
(Tursiops sp.), that are held in Dolphinaria worldwide. The information presented here, provides a strong case against the keeping of these marine mammals in captivity and can provide government authorities with relevant data to refuse permission to those organisations, government bodies and individuals who propose to set up such captive facilities in India. The objectives of this document are to present in brief, the current known proposals for Dolphinaria in India, followed by an overview of the existing national policies and legalities related to the capture, import and display of cetacean species.""","http://www.bancaptivedolphins.org/downloads/dossier.pdf","http://hdl.handle.net/2451/33812",,"New Delhi, India","Federation of Indian Animal Protection Organisations (FIAPO)","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.",,"animal rights||wildlife protection||dolphins||dolphin parks||Dolphin City||animal performances||animal health||animal biology||cruelty to animals","Recommendations against dolphinaria in India: based on worldwide scientific research on the welfare of dolphins in captivity"
"34648","2451/33605","Asian Indigenous & Tribal Peoples Network",,"India||Northeast India||Tripura||South Asia","2012","""This report is being published with the financial assistance from the European
Commission under the project, EIDHR/2010/232154 titled “Implementation of rights of indigenous peoples in India with special focus on armed conflict situations” granted to Asian Indigenous and Tribal Peoples Network. The views are of the AITPN and not the European Commission""",,"http://hdl.handle.net/2451/33854",,"New Delhi, India","Asian Indigenous & Tribal Peoples Network","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.",,"Tribals||Reangs||displacement||explotation||injustice||political atrocities||community forestry||livelihoods||Scheduled Tribes","Will justice be given to the Reangs of Shikaribari, Tripura?"
"34650","2451/33605","FATA Research Centre",,"Pakistan||South Asia","2013-01-23",,"http://frc.com.pk/wp-content/uploads/2013/02/Research-Report-2-dated-January-23-2013.pdf","http://hdl.handle.net/2451/33855",,"Islamabad","FATA Research Centre","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.",,"Pakistan -- Federally Administered Tribal Areas||Tribes||Public administration||Ethnic conflict||Ethnic relations","Extremism and radicalization: a study on the state of governance in the Federally Administered Tribal Areas: a research project of FATA Research Centre"
"34649","2451/33605","Vagholikar, Neeraj||Das, Partha J.",,"South Asia||India||Northeast India","2010-11","""With the Northeast identified as India’s ‘future powerhouse’ and at least 168 large hydroelectric projects set to majorly alter the riverscape, large dams are emerging as a major issue of conflict in the region. Although the current scale of dam-related developments far outstrips anything which took place in the past, the region has been
no stranger to dam-related conflicts. For example, the Kaptai dam, built in the Chittagong Hill Tracts of East Pakistan (now Bangladesh) in the 1960s, submerged the traditional homelands of the Hajong
and Chakma indigenous communities, and forced them to migrate into parts of Northeast India. Over the years, this has led to serious conflicts between the refugees and local communities in Arunachal Pradesh"".","http://peasantautonomy.org/dams-northeast.pdf","http://hdl.handle.net/2451/33859",,"Pune/Guwahati/New Delhi","Kalpavriksh, Aaranyak and ActionAid India","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.",,"Ecology||Democracy||Governance||Environment||Livelihoods||Economic Development||Biodiversity||Displacement||Brahmaputra","Damming northeast India: juggernaut of hydropower projects theatens social and environmental security of region"
"34651","2451/33605","Chaudhry, Sharafat Ali",,"South Asia||Pakistan","2014","""The Federally Administered Tribal Areas (FATA) of Pakistan has been at the center of attention since the US led war on terror in late 2001.The fierce fighting between Pakistan military and non state militant groups in FATA and PATA regions has resulted in one of the biggest internal displacement of people in the history of Pakistan. The local communities had no alternative except becoming IDPs to escape from the conflict zone. According to an estimate, there were nearly three million inhabitants from FATA and KPK, by the end of 2009, which had moved to take refuge in the IDP camps or hosting communities.

Initially both the state and humanitarian organizations responded to this grave humanitarian issue; however, there is still a wide gap between needs and service delivery. The issues of improper coordination among different organizations and untrained staff have also been highlighted by numerous field reports""","http://frc.com.pk/wp-content/uploads/2014/01/Research-report-on-crisis-of-IDPs111.pdf","http://hdl.handle.net/2451/33860",,"Islambad","FATA Research Centre","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.",,"Internally displaced persons -- Pakiastan -- Federally Administered Tribal Areas||Disaster relief -- Pakistan -- Federally Administered Tribal Areas||Humanitarian assistance -- Pakistan -- Federally Administered Tribal Areas","A report by FATA Research Centre on crisis of IDPs in FATA: issues, challenges and way forward"
"34654","2451/33605","[Internal Displacement Monitoring Centre]",,"South Asia||India||Northeast India||Assam||Meghalaya||Tripura","2011-11","""This report focuses on the situation of people internally displaced by three situations of generalised violence, which between them caused the displacement of over
800,000 people within the region:
violence and displacement in Assam and Meghalaya states in December 2010 and January 2011; violence and displacement in Western Assam during the 1990s and 2000s; and
violence and displacement from Mizoram state to Tripura state in 1997 and 2009.""","http://www.internal-displacement.org/assets/publications/2011/201111-ap-India-this-is-our-land-country-en.pdf","http://hdl.handle.net/2451/33861",,"Châtelaine (Geneva)","Internal Displacement Monitoring Centre","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.",,"Tribals||Displacement||Livelihoods||Human rights||Ethnic relations||Exploitation||Political atrocities||Rabhas||Garos||Ethnic minorities","""This is our land"": ethnic violence and internal displacement in north-east India"
"34682","2451/33605","Chanana, Opender",,"South Asia||India||Bombay||Mumbai||Western India","2011","""has revealed to the world the woeful world behind and beneath the colourful glamorous edifice of the filmy industry. What we daily see on the screen, big and now small,is like the outer façade of a Five Star Hotel.We never peep into the kitchen to know the inside uncleanliness. Mr.Chanana wants us o see the ugly inside of the glamorous world.""","http://www.uniglobalunion.org/sites/default/files/attachments/pdf","http://hdl.handle.net/2451/33878",,"Switzerland","UNI Global Union","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.",,"Bollywood||Workers||Film industry||Cinema||Television||Social Security||Trade Unions||Labour||Labor||Legislation||FWICE (Federation of Western India Cine Employees)","The missing 3 in Bollywood"
"34683","2451/33605","Aware Girls||Young Feminists Movement",,"South Asia||Pakistan||Peshawar","2014-02","""Aware Girls conducted a small survey to find out the general perception and attitudes of people towards the issue of domestic violence mostly intimate partner violence. The survey was conducted for the purpose of designing social media campaigns for addressing the issue of violence
against women through sensitization, awareness raising and educational activities. The responses were collected through social media so only perspectives of those who have access to social media and can read have been captured"".","http://www.awaregirls.org/wp-content/uploads/2014/02/Survey-Report-VAW.pdf","http://hdl.handle.net/2451/33879",,"Peshawar","Aware Girls","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.",,"Domestic Viloence||Domestic Abuse||Women's Rights||Human Rights||Gender Equality||Gender Studies||Gender  & Sexuality Studies||Mamacash||VAW","Survey on the perceptions and attitudes of people towards domestic abuse in Pakistan"
